month,vtuber,avg_viewers
2025-10-01,lerritay,215
2025-11-01,lerritay,213
2025-12-01,lerritay,209
2026-01-01,lerritay,274
2026-02-01,lerritay,191
2026-03-01,lerritay,204
2026-04-01,lerritay,241
2026-05-01,lerritay,236
2026-06-01,lerritay,225
2021-08-01,grees_greeck,5
2021-09-01,grees_greeck,4
2021-10-01,grees_greeck,5
2021-11-01,grees_greeck,5
2021-12-01,grees_greeck,5
2022-01-01,grees_greeck,5
2022-03-01,grees_greeck,3
2022-04-01,grees_greeck,9
2022-05-01,grees_greeck,7
2022-06-01,grees_greeck,9
2022-07-01,grees_greeck,6
2022-09-01,grees_greeck,5
2022-10-01,grees_greeck,6
2022-11-01,grees_greeck,8
2022-12-01,grees_greeck,9
2023-01-01,grees_greeck,8
2023-02-01,grees_greeck,10
2023-03-01,grees_greeck,14
2023-04-01,grees_greeck,13
2023-05-01,grees_greeck,14
2023-06-01,grees_greeck,16
2023-07-01,grees_greeck,14
2023-08-01,grees_greeck,16
2023-09-01,grees_greeck,14
2023-10-01,grees_greeck,15
2023-11-01,grees_greeck,15
2023-12-01,grees_greeck,15
2024-01-01,grees_greeck,12
2024-02-01,grees_greeck,13
2024-03-01,grees_greeck,14
2024-04-01,grees_greeck,15
2024-05-01,grees_greeck,14
2024-06-01,grees_greeck,16
2024-07-01,grees_greeck,15
2024-08-01,grees_greeck,19
2024-09-01,grees_greeck,16
2024-10-01,grees_greeck,17
2024-11-01,grees_greeck,22
2024-12-01,grees_greeck,19
2025-01-01,grees_greeck,17
2025-02-01,grees_greeck,15
2025-03-01,grees_greeck,15
2025-04-01,grees_greeck,18
2025-05-01,grees_greeck,15
2025-06-01,grees_greeck,18
2025-07-01,grees_greeck,17
2025-08-01,grees_greeck,14
2025-09-01,grees_greeck,16
2025-10-01,grees_greeck,16
2025-11-01,grees_greeck,15
